song_name,feature_count,hash_count,time_to_read,stft_time,local_maxima_time,hash_time,dump_time
"67_090. Josh Groban - You Raise Me Up (Official Music Video) [HD Remaster].wav",15464,359538,91,3591,327,516,23
"5_002. Avicii - Wake Me Up (Official Video).wav",17537,438227,46,3158,337,693,29
"7_092. Harry Potter Medley on Marimba.wav",10803,212799,47,3518,316,249,15
"29_010. Katy Perry - Part Of Me (Official).wav",19685,623030,42,2535,307,763,45
"46_032. Katy Perry - Wide Awake (Official Video).wav",18947,517603,47,3706,347,722,42
"75_078. Kungs vs Cookin on 3 Burners - This Girl (Official Music Video).wav",15503,473644,34,2048,257,470,31
"97_075. Lindsey Stirling - Prism (Official Video).wav",19802,605298,42,2633,331,753,43
"84_001. Anna Kendrick - Cups.wav",15796,385100,42,2766,276,556,26
"27_022. Major Lazer & DJ Snake - Lean On (feat. MØ) [Official Music Video].wav",11782,300597,28,1704,213,325,19
"88_033. Fifth Harmony - Worth It (Official Video) ft. Kid Ink.wav",19318,588668,36,2356,324,746,44
"102_018. Shawn Mendes - Stitches (Official Music Video).wav",17386,498435,46,2691,283,900,53
"15_060. My OCD (Song).wav",17181,480929,75,7238,433,944,50
"85_011. Martin Garrix - Animals (Official Video).wav",13575,375639,48,3838,348,543,44
"6_043. Wintergatan - Marble Machine (music instrument using 2000 marbles).wav",19842,587995,69,6360,445,1116,62
"2_023. Rachel Platten - Fight Song (Official Video).wav",13518,341086,61,4421,375,604,36
"17_084. Thomas Rhett - Crash and Burn.wav",16408,524823,59,4339,250,834,54
"28_074. American Authors - Best Day Of My Life.wav",13318,330241,58,4971,374,550,34
"4_003. Lorde - Royals (US Version).wav",14242,370784,58,4770,312,484,38
"40_052. Lindsey Stirling - Moon Trance (Official Music Video).wav",20676,543545,98,8398,600,1273,57
"0_096. Nightcore - Mad World.wav",10264,252766,47,3348,295,363,26
"77_065. Nightcore - Ghostbusters.wav",11701,400042,50,4724,318,435,41
"71_083. My Singing Monsters - Plant Island Theme.wav",5197,131199,33,1826,153,91,14
"37_063. Bastille - Pompeii (Official Music Video).wav",16111,476539,76,5099,379,795,48
"95_053. Avicii - Hey Brother.wav",15694,392325,70,5743,464,730,41
